Date,Names,Values
2021-01-01,EUR,0.8149295085975062
2021-01-01,USD,1.0
2021-01-01,JPY,103.08043354249857
2021-01-01,BGN,1.5938391329150028
2021-01-01,CZK,21.38538016461576
2021-01-01,DKK,6.063808980523184
2021-01-01,GBP,0.732646076114416
2021-01-01,HUF,296.5446988835465
2021-01-01,PLN,3.7158340803520495
2021-01-01,RON,3.9673213267052394
2021-01-01,SEK,8.177247168119957
2021-01-01,CHF,0.8802868551870263
2021-01-01,ISK,127.21049629207073
2021-01-01,NOK,8.53255643386847
2021-01-01,HRK,6.154266155977507
2021-01-01,RUB,74.53923885583896
2021-01-01,TRY,7.426534104799933
2021-01-01,AUD,1.2954119468665959
2021-01-01,BRL,5.193953223046206
2021-01-01,CAD,1.2739793007904814
2021-01-01,CNY,6.537771982723495
2021-01-01,HKD,7.753402330698394
2021-01-01,IDR,14050.00407464754
2021-01-01,ILS,3.214652432564583
2021-01-01,INR,73.06698720560671
2021-01-01,KRW,1088.7458234862684
2021-01-01,MXN,19.897318881916714
2021-01-01,MYR,4.020862195420096
2021-01-01,NZD,1.3840762774020046
2021-01-01,PHP,48.18270719582756
2021-01-01,SGD,1.3216526770434356
2021-01-01,THB,29.92991606226061
2021-01-01,ZAR,14.686578110993397
2021-01-02,EUR,0.8149295085975062
2021-01-02,USD,1.0
2021-01-02,JPY,103.08043354249857
2021-01-02,BGN,1.5938391329150028
2021-01-02,CZK,21.38538016461576
2021-01-02,DKK,6.063808980523184
2021-01-02,GBP,0.732646076114416
2021-01-02,HUF,296.5446988835465
2021-01-02,PLN,3.7158340803520495
2021-01-02,RON,3.9673213267052394
2021-01-02,SEK,8.177247168119957
2021-01-02,CHF,0.8802868551870263
2021-01-02,ISK,127.21049629207073
2021-01-02,NOK,8.53255643386847
2021-01-02,HRK,6.154266155977507
2021-01-02,RUB,74.53923885583896
2021-01-02,TRY,7.426534104799933
2021-01-02,AUD,1.2954119468665959
2021-01-02,BRL,5.193953223046206
2021-01-02,CAD,1.2739793007904814
2021-01-02,CNY,6.537771982723495
2021-01-02,HKD,7.753402330698394
2021-01-02,IDR,14050.00407464754
2021-01-02,ILS,3.214652432564583
2021-01-02,INR,73.06698720560671
2021-01-02,KRW,1088.7458234862684
2021-01-02,MXN,19.897318881916714
